TID,KR,EN,CN,JP,PLD,TW,IND
join_not_guild,길드에 가입되어 있지 않습니다.,Not registered to a guild.,,,,尚未加入任何公會.,
spirit_material_text,강화\n재료,Enhancement material,,,,強化\n材料,
guild_menu_shop,상점은 길드레벨 5부터 이용 가능합니다.,Shop can be used after guild level.,상점은 길드레벨 5부터 이용 가능합니다.,상점은 길드레벨 5부터 이용 가능합니다.,Można skorzystać z sklepu po zdobyciu lvl Gildii.,[公會達到5級開放公會商店.,상점은 길드레벨 5부터 이용 가능합니다.
mine_totalvote,입찰권 투입:,Bidding,,,,輸入競標劵：,
mine_amount,%d개,%d,,,,%d個,
mine_contri_point,기여도,Contributiveness,,,,貢獻du,
mine_vote_point,입찰권 투입,Bidding,,,,輸入競標劵：,
mine_contri_progress,공사 진행율,Contruction progress,,,,工程完成率,
pocket_amount,%d / %d,%d / %d,,,,,
pocket_price,포인트 구입,Buy Points,,,,,
pocket_buy_msg,주머니 %d개를 %d포인트로 구매하겠습니까?,Do you want to buy %d pockets as %d points?,,,,,
pocket_buy_msg2,%d개의 주머니를 구매하였습니다.,Buy %d pockets.,,,,,
coin_buy_msg,코인 %d개를 %d다이아로 구매하겠습니까?,Do you want to buy %d coins as %d Diamonds?,,,,,
coin_buy_msg2,%d개의 코인을 구매하였습니다.,Buy %d coins.,,,,,
pocket_point_0,일일 총 포인트,Daily Point,,,,,
pocket_point_1,로그인,Login,,,,,
pocket_point_2,탐험,Adventure,,,,,
pocket_point_3,솔로/테그,Solo/Tag,,,,,
pocket_point_4,토너먼트,Tournamant,,,,,
pocket_point_5,실험실,Lab,,,,,
pocket_point_6,오픈더박,OpenBak,,,,,
guild_level_up,[%s]길드의 레벨이 올랐습니다.,[%s]Guild level went up.,,,[%s]Gildia zyskała nowy lvl.,[%s公會等級提升].,
water,물,Water,물,물,Woda,水,물
wind,바람,Wind,바람,바람,Powietrze,風,바람
guild_storage_empty2,아이템 갯수가 부족합니다.,Insufficient number of items.,,아이템 갯수가 부족합니다.,Niewystarczająca ilość przedmiotów.,道具數量不足.,아이템 갯수가 부족합니다.
guild_member_leave3,다른 길드에 가입된 유저입니다.,Member of another guild.,,다른 길드에 가입된 유저입니다.,Członek innej Gildii.,該玩家已加入其它公會.,다른 길드에 가입된 유저입니다.
mine_noguild_popup,길드에 가입되어 있지 않아 입찰을 할 수가 없습니다.,You can not bidding because you are not join Guild,,,,尚未加入任何公會，不可參加競標.,
guild_create_delay,%d시간 %d분 %d초 후에 생성 가능합니다.,Can create after %dhr %dm %ds.,,%d시간 %d분 %d초 후에 생성 가능합니다.,Można stworzyć po %dhr %dm %ds.,%d時 %d分 %d秒 后才能開始生產.,%d시간 %d분 %d초 후에 생성 가능합니다.
guild_storage_full,창고가 가득 찼습니다.,Storage full.,,창고가 가득 찼습니다.,Magazyn pełny.,倉庫已滿.,창고가 가득 찼습니다.
guild_comment_menu,여어~ 어서 와.\n최고의 길드가 되기 위해 \n오늘도 파이팅하자고!,Hey~ come on in. Let's work hard \n today to make \n the best guild!,,여어~ 어서 와.\n최고의 길드가 되기 위해 \n오늘도 파이팅하자고!,YO! Weźmy się do roboty. Popracujmy dzisiaj ciężko \n nad naszą Gildią aby \n była najlepsza!,嘿！歡迎歡迎！.\n為了成為最棒的公會 \n從今天開始努力吧！,여어~ 어서 와.\n최고의 길드가 되기 위해 \n오늘도 파이팅하자고!
guild_comment_mission,길드 미션을 클리어하면 길드 상점의 화폐인 루비와 길드 레벨업에 필요한 G.P를 얻을 수 있어.,"By clearing guild mission, you can get Rubies you can use in guild shop and G.P you can use for guild level up.",,길드 미션을 클리어하면 길드 상점의 화폐인 루비와 길드 레벨업에 필요한 G.P를 얻을 수 있어.,Za wykonywanie Misji Gildii będziesz otrzymywał Rubiny. Możesz je wykorzystać w Sklepie Gildii i G.P. a także do zdobycia nowego poziomu Gildii.,完成公會任務就可以得到公會貨幣紅寶石和公會升級時必須要用的G.P.啦,길드 미션을 클리어하면 길드 상점의 화폐인 루비와 길드 레벨업에 필요한 G.P를 얻을 수 있어.
guild_comment_shop,이런 특별한 아이템들은 오직 길드 상점에서만 구입할 수 있지! 그러니 열심히 루비를 모아야 해!,You can only buy special items like these in guild shop! So you have to collect many rubies!,,이런 특별한 아이템들은 오직 길드 상점에서만 구입할 수 있지! 그러니 열심히 루비를 모아야 해!,Możesz kupować tylko specjalne przedmioty jak te w Sklepie Gildii. Więc zbieraj duuuzo Rubinów!,很多特殊道具只能在公會商店購買到，所以努力賺取紅寶石吧！,이런 특별한 아이템들은 오직 길드 상점에서만 구입할 수 있지! 그러니 열심히 루비를 모아야 해!
guild_comment_board,"다른 길드원들이 남기고 간 게시물을 읽을 수 있고, 자신이 직접 게시물을 올릴 수도 있어.","You can read posts of other guild members, and also, you can post your own.",,"다른 길드원들이 남기고 간 게시물을 읽을 수 있고, 자신이 직접 게시물을 올릴 수도 있어.",Możesz czytać ogłoszenia innych członków Gildii a także dawać własne.,可以查看其他會員的發言，也可以自己直接發言。,"다른 길드원들이 남기고 간 게시물을 읽을 수 있고, 자신이 직접 게시물을 올릴 수도 있어."
guild_comment_storage,길드원끼리 아이템을 공유할 수 있는 창고야. 아이템을 넣거나 뺄 때는 루비를 사용해야 해.,This is warehouse to share items among guild members. You need rubies to put in or take out items.,,길드원끼리 아이템을 공유할 수 있는 창고야. 아이템을 넣거나 뺄 때는 루비를 사용해야 해.,A oto magazyn gdzie możesz dzielić się przedmiotami z innymi członkami Gildii. Potrzebujesz Rubinów aby coś tutaj włożyć lub wziąć ze sobą.,公會公用倉庫，會員間可以分享道具，放入或取出道具時需要紅寶石。,길드원끼리 아이템을 공유할 수 있는 창고야. 아이템을 넣거나 뺄 때는 루비를 사용해야 해.
guild_comment_buf,길드원들이 받을 수 있는 길드 버프 현황이야. 길드 레벨이 올라가면 버프의 레벨도 올라가지.,This is guild buff status that guild members can get. Buff level goes up when guild level goes up.,,길드원들이 받을 수 있는 길드 버프 현황이야. 길드 레벨이 올라가면 버프의 레벨도 올라가지.,To jest Poziom Wzmocnienia (buff status) jaki każdy członek gildii może dostać. Poziom Wzmocnienia wzrasta wraz z poziomem Gildii.,可以查看公會會員得到的增益情況。當公會級別上升，增益級別也會上升。,길드원들이 받을 수 있는 길드 버프 현황이야. 길드 레벨이 올라가면 버프의 레벨도 올라가지.
guild_create_delay2,%d시간 %d분 %d초 후에 초대 가능합니다.,You may invite after %dhr %dm %ds.,,%d시간 %d분 %d초 후에 초대 가능합니다.,Możesz zaprosić po %dhr %dm %ds.,%d時 %d分 %d秒 后可以發出邀請.,%d시간 %d분 %d초 후에 초대 가능합니다.
guild_create_delay3,%d시간 %d분 %d초 후에 가입 가능합니다.,You may register after %dhr %dm %ds.,,%d시간 %d분 %d초 후에 가입 가능합니다.,Możesz zarejestrować %dhr %dm %ds.,%d時 %d分 %d秒 后可以加入.,%d시간 %d분 %d초 후에 가입 가능합니다.
guild_create_empty,길드명 또는 소개글에 공백이 있습니다.,There is a space in guild name or description.,,길드명 또는 소개글에 공백이 있습니다.,"Gdzieś jest spacja, albo w Tytule albo w Opisie.",公會名稱和說明文字不可空白.,길드명 또는 소개글에 공백이 있습니다.
guild_main_prevent5,이미 초대한 유저입니다.,The user has already been invited.,,이미 초대한 유저입니다.,Ten gracz został już zaproszony.,已經邀請過該玩家.,이미 초대한 유저입니다.
guild_item_moneyX2,다이아가 부족하여\n아이템을 구매할 수 없다.,You don't have enough dia to buy \n item.,,다이아가 부족하여\n아이템을 구매할 수 없다.,Nie masz wystarczająco dużo Dia \n aby kupić ten przedmiot.,鑽石不足，無法購買\n道具.,다이아가 부족하여\n아이템을 구매할 수 없다.
guild_mission_fail,비정상적인 데이터로 인해\n미션 갱신에 실패했습니다.,\n mission renual failed due to abnormal data.,,비정상적인 데이터로 인해\n미션 갱신에 실패했습니다.,\n odnowienie misji nie powiodło się przez błąd danych.,網絡狀況不穩定\n數據加載失敗 .,비정상적인 데이터로 인해\n미션 갱신에 실패했습니다.
//하늘왕국 시나리오,,,,,,,
//여신의 편지,,,,,,,
skycastleScenario0_0,창조신 아모르님의 첫번째 자손이자 위대한 힘의 주인인 드래곤.,"Firstborn of the Creator Amor, and owner of great power, the dragons.",,창조신 아모르님의 첫번째 자손이자 위대한 힘의 주인인 드래곤.,"Pierwordony Stwórca Amor, jego potęga i smoki.",神龍是創造神艾默爾創造的第一個生物，他們擁有者巨大的能量。,창조신 아모르님의 첫번째 자손이자 위대한 힘의 주인인 드래곤.
skycastleScenario0_1,"그리고 그 드래곤들을 다루는 능력자, 드래곤 테이머…","And the people who tame those dragons, Dragon Tamer...",,"그리고 그 드래곤들을 다루는 능력자, 드래곤 테이머…","A także ludzie którzy trenują te smoki, Zaklinacze Smoków lub Trenerzy.",還有訓練這些神龍的馴龍者們…,"그리고 그 드래곤들을 다루는 능력자, 드래곤 테이머…"
skycastleScenario0_2,요즘 아주 주목할 만한 드래곤 테이머가 있더군요.,There is a remarkable Dragon Tamer lately.,,요즘 아주 주목할 만한 드래곤 테이머가 있더군요.,Ostatnio pojawił się niezwykły Zaklinacz Smoków!,最近有一些非常優秀的馴龍者們.,요즘 아주 주목할 만한 드래곤 테이머가 있더군요.
skycastleScenario0_3,정말 활약상이 굉장해요. 벌써 여러 차레 유타칸의 위기를 막아냈더군요.,The activities are impressive. The tamer already stopped a number of threats to Utahkhan.,,정말 활약상이 굉장해요. 벌써 여러 차레 유타칸의 위기를 막아냈더군요.,Jego poczynania są niesamowite! Wraz ze smokami pokonał siły zła nie raz zagrażające mieszkańcom Yukatan.,他們活躍在這片大地上，已經阻止了幽塔卡恩的許多危機.,정말 활약상이 굉장해요. 벌써 여러 차레 유타칸의 위기를 막아냈군요.
skycastleScenario0_4,하지만… 과연 그 무용담이 언제까지 이어질 수 있을까요...?,But… How long will the heroism continue…?,,하지만… 과연 그 무용담이 언제까지 이어질 수 있을까요...?,Ale.. Jak długo trwać będą jego heroiczne wyczyny.. Czy poniesie on kiedykolwiek klęskę?,但是，這些馴龍者們又會繼續活躍到什麼時候呢...?,하지만… 과연 그 무용담이 언제까지 이어질 수 있을까요...? 오호호호호홋!!
skycastleScenario0_5,...왠지 지축이 울리는 듯한 느낌이 든다. 이 느낌은 분명...!,… I feel the earth rumbling. This must be…!,,...왠지 지축이 울리는 듯한 느낌이 든다. 이 느낌은 분명...!,… Czuję jak ziemia drga. To musi być…!,...感覺好像大地在震動，這種不尋常的震動一定是...!,...왠지 지축이 울리는 듯한 느낌이 든다. 이 느낌은 분명...!
skycastleScenario0_6,"오랜만이야, 친구! 누님의 애정 가득한 백 허그를 받으니 기분이 어때?","Long time no see, friend! How does it feel to receive my loving back hug?",,"오랜만이야, 친구! 누님의 애정 가득한 백 허그를 받으니 기분이 어때?","Jak długo się nie widzieliśmy, przyjacielu! Dobrze Cię znowu widzieć!",好友不見! 收到充滿友情的擁抱感覺不錯吧?,"오랜만이야, 친구! 누님의 애정 가득한 백 허그를 받으니 기분이 어때?"
skycastleScenario0_7,(어이어이! 얼굴 좀 펴! 지금 네 표정은 누가 봐도 와일드 보어에게 들이받힌 사람 표정이라고!!),(Hey hey! Brighten up! Your face look as if you have just been struck by a wild boar!!),,(어이어이! 얼굴 좀 펴! 지금 네 표정은 누가 봐도 와일드 보어에게 들이받힌 사람 표정이라고!!),(Hej hej! Uśmiechnij się! Wyglądasz jakbyś przed chwilą miał czołowe zderzenie z dzikiem!),(喂! 笑一下啊! 你現在的表情好像撞到了一隻野豬!!),(어이어이! 얼굴 좀 펴! 지금 네 표정은 누가 봐도 와일드 보어에게 들이받힌 사람 표정이라고!!)
skycastleScenario0_8,...다 들리거든? 어디 이런 세상에 둘도 없는 미소녀 드래곤 테이머를 그런 멧돼지랑 비교해!?,…I can hear everything. How can you possibly compare this beautiful Dragon Tamer to such hog?,,...다 들리거든? 어디 이런 세상에 둘도 없는 미소녀 드래곤 테이머를 그런 멧돼지랑 비교해!?,…Wszystko słyszę. Jak możesz porównywać siłę najsławniejszego Zaklinacza smoków do bijatyki z dzikiem? Opanuj się.,...我都聽到了哦！? 你居然把我這個世上獨一無二的美女馴龍者比作一隻野豬!?,...다 들리거든? 어디 이런 세상에 둘도 없는 미소녀 드래곤 테이머를 그런 멧돼지랑 비교해!?
skycastleScenario0_9,"방금 뭔가 굉장히 현실을 왜곡하는 주장을 들은 것 같은데, 일단 무시하자고. 중요한 일이 생겼거든.","I think I just heard something messed up, but let's forget about that for now. Something important has come up.",,"방금 뭔가 굉장히 현실을 왜곡하는 주장을 들은 것 같은데, 일단 무시하자고. 중요한 일이 생겼거든.","Po prostu myślę, że coś się stało, ale zapomnijmy o tym. Coś nadciąga..",剛剛好像聽到了扭曲事實的東西，就先當做沒聽到吧。還有更重要的事情等著我們。,"방금 뭔가 굉장히 현실을 왜곡하는 주장을 들은 것 같은데, 일단 무시하자고. 중요한 일이 생겼거든."
skycastleScenario0_10,"누리, 그 스크롤의 봉인을 제거하고 여기서 펼쳐줘.","Nuri, please remove seal on the scroll and unroll it.",,"누리, 그 스크롤의 봉인을 제거하고 여기서 펼쳐줘.","Noori, odpieczętuj zwój i go rozwiń proszę.",娜莉，打開那個卷軸吧.,"누리, 그 스크롤의 봉인을 제거하고 여기서 펼쳐줘."
skycastleScenario0_11,누리는 한 장의 스크롤을 꺼냈다. 스크롤을 고정하고 있던 봉인을 떼고 스크롤을 펼쳐 보였다.,"Nuri took out a scroll. Removes seal that held the scroll in place, and unrolled it.",,누리는 한 장의 스크롤을 꺼냈다. 스크롤을 고정하고 있던 봉인을 떼고 스크롤을 펼쳐 보였다.,Noori odebrała zwój. Złamała pieczęć a następnie rozwinęła materiał.,娜莉拿出卷軸，解開繩子，展開給大家閱讀裡面的內容.,누리는 한 장의 스크롤을 꺼냈다. 스크롤을 고정하고 있던 봉인을 떼고 스크롤을 펼쳐 보였다.
